timestamp_utc,trading_day_et,symbol,action,strategy,reason,qty,price,notional,stop_loss,take_profit,sizing_style,equity,open_positions,minutes_since_open,order_id,client_order_id,close,rsi,adx,atr,ema_fast,ema_slow,vwap,volume,rvol_avg_volume,breakout_recent_high,orb_high,prior_session_close
2026-08-04T14:29:34+00:00,2026-08-04,AAPL,BUY,breakout,volume-confirmed breakout above 20-bar high,64,306.898,19641.5,291.5,337.52,"risk-based, 1.0% of $99,232",99232.2,,30,92f6c5d4-57e2-423c-bb34-000e1bf7ef6b,breakout-1785853772,305.75,70.4716,16.2013,0.928943,303.892,303.558,303.842,2.12416e+06,572263,305.3,304.8,303.54
2026-08-04T15:00:18+00:00,2026-08-04,UFPT,STOP_HIT,breakout,STOP_HIT (order type OrderType.STOP),59,316.55,18676.5,,,,,,,e7698e23-9f74-4210-a703-473dac641718,,,,,,,,,,,,,
2026-08-04T18:44:54+00:00,2026-08-04,AAPL,AUTO_EXIT,breakout,AUTO_EXIT (order type OrderType.MARKET),64,310.16,19850.2,,,,,,,2d403baf-716f-424d-a4c9-60ac05cf149c,,,,,,,,,,,,,
2026-08-04T19:51:05+00:00,2026-08-04,AMZN,FLATTEN,end_of_day,Flattened before market close,71,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T19:51:05+00:00,2026-08-04,MSFT,FLATTEN,end_of_day,Flattened before market close,40,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T19:51:05+00:00,2026-08-04,PLTR,FLATTEN,end_of_day,Flattened before market close,102,,,,,,,,,,,,,,,,,,,,,,
2026-08-05T16:10:06+00:00,2026-08-05,AMZN,AUTO_EXIT,trend_following,AUTO_EXIT (order type OrderType.MARKET),71,277.73,19718.8,,,,,,,57e610e1-77fd-4bcb-81da-a4e156bc5eec,,,,,,,,,,,,,
2026-08-05T16:10:06+00:00,2026-08-05,PLTR,AUTO_EXIT,breakout,AUTO_EXIT (order type OrderType.MARKET),102,162.416,16566.4,,,,,,,4b40ee42-e2a0-450a-8bc1-b435678d000a,,,,,,,,,,,,,
2026-08-05T16:10:06+00:00,2026-08-05,MSFT,AUTO_EXIT,breakout,AUTO_EXIT (order type OrderType.MARKET),40,494.96,19798.4,,,,,,,be1396b0-841f-4d91-8d28-8ad5e4bd0a82,,,,,,,,,,,,,
2026-08-05T13:39:08+00:00,2026-08-05,AMZN,AUTO_EXIT,trend_following,AUTO_EXIT (order type OrderType.MARKET),71,277.73,19718.8,,,,,,,57e610e1-77fd-4bcb-81da-a4e156bc5eec,,,,,,,,,,,,,
2026-08-05T13:39:08+00:00,2026-08-05,MSFT,AUTO_EXIT,breakout,AUTO_EXIT (order type OrderType.MARKET),40,494.96,19798.4,,,,,,,be1396b0-841f-4d91-8d28-8ad5e4bd0a82,,,,,,,,,,,,,
2026-08-05T13:39:08+00:00,2026-08-05,PLTR,AUTO_EXIT,breakout,AUTO_EXIT (order type OrderType.MARKET),102,162.416,16566.4,,,,,,,4b40ee42-e2a0-450a-8bc1-b435678d000a,,,,,,,,,,,,,
2026-08-05T13:54:19+00:00,2026-08-05,ROCK,BUY,breakout,volume-confirmed breakout above 20-bar high,9,55.49,499.41,52.72,61.04,flat $,99645.1,,0,6780f53e-f7e5-426d-9c6a-972e0078affb,breakout-1785938057,53.97,91.6027,54.6772,0.863132,49.4103,48.3662,53.946,55691,15776.5,49.65,57.175,48.06
2026-08-05T14:10:00+00:00,2026-08-05,NVDA,BUY,breakout,volume-confirmed breakout above 20-bar high,2,221.655,443.31,210.53,243.77,flat $,99640.3,,15,8448fe25-ccc4-4017-b948-e8ecb832fdf2,breakout-1785938999,221.155,80.0476,27.0288,1.24461,217.455,216.462,219.291,1.08464e+07,1.34557e+06,219.9,221.77,216.52
